Player Name,DOB,International,Positional Number,Position,Player Image,International Image,Max Game Total Distance,Max Game High Speed Running,Max Game
Jamal,1992-10-29,UAE,#8,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11471,849,9.25
Samir,1997-04-20,UAE,#13,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10687,833,9.79
Rashid,1994-04-04,UAE,#24,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9.34
Hassan,1993-03-03,UAE,#23,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,8.91
Sami,2001-04-20,UAE,#3,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,9.86
Imran,1994-12-18,UAE,#10,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11275,474,9.0
Nour,1990-10-23,UAE,#6,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11417,1161,9.12
Ayman,2001-08-22,UAE,#16,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12754,716,10.3
Waleed,1991-01-01,UAE,#21,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11275,713,8.92
Anas,1992-02-02,UAE,#22,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,8.91
Majid,1994-11-04,UAE,#18,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10561,962,9.42
Fadi,1996-02-19,UAE,#5,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11417,1161,9.28
Ibrahim,2000-07-21,UAE,#15,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11193,1207,9.79
Salem,1993-12-03,UAE,#17,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10369,695,9.08
Kareem,1996-01-12,UAE,#20,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12754,1192,9.89
